product,metal,width,optical_code,height_40,height_70,height_110,height_200,timestamp_first,timestamp_last,optical_code_Encoded,optical_code_numerical_only,optical_code_numerical_only_Encoded,colorimetrie,transparency,teinte,colorimetrie_Encoded,transparency_Encoded,teinte_Encoded,longeur_mm,height,height_encoded
bouteille_t,False,64,T031091,True,True,True,True,2024-11-14 14:49:27.522270,2024-11-14 14:49:27.554399,2694.0,031091,741.0,T,031,091,1,31.0,91.0,71.4,>= 200,5
carton_grand,False,309,B073011,False,False,False,False,2024-11-14 14:48:05.659843,2024-11-14 14:48:05.761253,1418.0,073011,2690.0,B,073,011,2,73.0,11.0,225.36,"[0, 40]",1
conserve,True,98,S018005,True,True,False,False,2024-11-14 14:43:55.066150,2024-11-14 14:43:55.098805,2343.0,018005,267.0,S,018,005,3,18.0,5.0,72.57,"[70, 110]",3
bouteille_b,False,83,W009006,True,True,True,False,2024-11-14 14:41:02.352234,2024-11-14 14:41:02.378936,3499.0,009006,76.0,W,009,006,0,9.0,6.0,59.34,"[110, 200]",4
journal,False,214,B057049,False,False,False,False,2024-11-14 14:46:47.583783,2024-11-14 14:46:47.674634,957.0,057049,2067.0,B,057,049,2,57.0,49.0,201.89,"[0, 40]",1
bouteille_t,False,66,T056071,True,False,False,False,2024-11-14 14:42:33.357678,2024-11-14 14:42:33.445807,3213.0,056071,2026.0,T,056,071,1,56.0,71.0,195.84,"[40, 70]",2
yaourt,False,62,W042009,True,False,False,False,2024-11-14 14:47:00.199025,2024-11-14 14:47:00.219957,3882.0,042009,1254.0,W,042,009,0,42.0,9.0,46.52,"[40, 70]",2
bouteille_t,False,152,T050096,True,False,False,False,2024-11-14 14:52:30.959395,2024-11-14 14:52:30.988309,3094.0,050096,1732.0,T,050,096,1,50.0,96.0,64.25,"[40, 70]",2
conserve,True,99,S023004,True,False,False,False,2024-11-14 14:48:00.814319,2024-11-14 14:48:00.860741,2378.0,023004,425.0,S,023,004,3,23.0,4.0,103.16,"[40, 70]",2
canette,True,67,S049007,True,True,False,False,2024-11-14 14:42:49.760314,2024-11-14 14:42:49.783268,2560.0,049007,1637.0,S,049,007,3,49.0,7.0,51.01,"[70, 110]",3
bouteille_b,False,87,W006007,True,False,False,False,2024-11-14 14:42:31.120158,2024-11-14 14:42:31.212992,3473.0,006007,42.0,W,006,007,0,6.0,7.0,206.3,"[40, 70]",2
bouteille_t,False,205,T051125,True,True,False,False,2024-11-14 14:52:26.981536,2024-11-14 14:52:27.009289,3121.0,051125,1786.0,T,051,125,1,51.0,125.0,61.67,"[70, 110]",3
conserve,True,94,S036004,True,True,False,False,2024-11-14 14:54:37.853991,2024-11-14 14:54:37.897264,2481.0,036004,928.0,S,036,004,3,36.0,4.0,96.16,"[70, 110]",3
bouteille_t,False,64,T046051,True,True,True,False,2024-11-14 14:53:03.015676,2024-11-14 14:53:03.054212,2995.0,046051,1492.0,T,046,051,1,46.0,51.0,85.64,"[110, 200]",4
journal,False,258,B061079,False,False,False,False,2024-11-14 14:45:10.021642,2024-11-14 14:45:10.168167,1099.0,061079,2275.0,B,061,079,2,61.0,79.0,325.61,"[0, 40]",1
yaourt,False,71,W063011,True,False,False,False,2024-11-14 14:46:09.650191,2024-11-14 14:46:09.681003,4072.0,063011,2334.0,W,063,011,0,63.0,11.0,68.47,"[40, 70]",2
dechet,False,6,B081010,True,True,True,True,2024-11-14 14:41:43.237469,2024-11-14 14:41:43.352231,1591.0,081010,2892.0,B,081,010,2,81.0,10.0,255.03,>= 200,5
carton_grand,False,3,B033007,True,True,True,False,2024-11-14 14:44:42.184080,2024-11-14 14:44:42.299474,319.0,033007,800.0,B,033,007,2,33.0,7.0,256.43,"[110, 200]",4
journal,False,316,B033048,False,False,False,False,2024-11-14 14:44:06.793639,2024-11-14 14:44:06.930876,333.0,033048,822.0,B,033,048,2,33.0,48.0,304.97,"[0, 40]",1
journal,False,344,B044014,True,True,True,False,2024-11-14 14:47:25.704561,2024-11-14 14:47:25.709521,552.0,044014,1362.0,B,044,014,2,44.0,14.0,11.02,"[110, 200]",4
carton_petit,False,84,B105018,True,False,False,False,2024-11-14 14:47:49.270223,2024-11-14 14:47:49.316902,2056.0,105018,3368.0,B,105,018,2,105.0,18.0,103.73,"[40, 70]",2
canette,True,75,S035005,True,False,False,False,2024-11-14 14:55:24.314534,2024-11-14 14:55:24.362009,2475.0,035005,891.0,S,035,005,3,35.0,5.0,105.5,"[40, 70]",2
journal,False,340,B015062,False,False,False,False,2024-11-14 14:41:36.120100,2024-11-14 14:41:36.211849,72.0,015062,210.0,B,015,062,2,15.0,62.0,203.89,"[0, 40]",1
journal,False,324,B041065,True,True,True,True,2024-11-14 14:44:54.070871,2024-11-14 14:44:54.075655,498.0,041065,1224.0,B,041,065,2,41.0,65.0,10.63,>= 200,5
carton_grand,False,230,B078011,False,False,False,False,2024-11-14 14:48:55.393057,2024-11-14 14:48:55.520722,1536.0,078011,2824.0,B,078,011,2,78.0,11.0,283.7,"[0, 40]",1
tetrapak,False,49,B074007,True,False,False,False,2024-11-14 14:56:55.616904,2024-11-14 14:56:55.644513,1436.0,074007,2710.0,B,074,007,2,74.0,7.0,61.35,"[40, 70]",2
carton_petit,False,94,B066016,True,True,False,False,2024-11-14 14:51:05.202024,2024-11-14 14:51:05.242073,1239.0,066016,2458.0,B,066,016,2,66.0,16.0,89.0,"[70, 110]",3
dechet,False,5,B107023,True,True,True,True,2024-11-14 14:44:17.941090,2024-11-14 14:44:18.015950,2084.0,107023,3396.0,B,107,023,2,107.0,23.0,166.36,>= 200,5
journal,False,7,B050068,True,True,True,True,2024-11-14 14:50:14.254505,2024-11-14 14:50:14.404596,761.0,050068,1723.0,B,050,068,2,50.0,68.0,333.54,>= 200,5
bouteille_t,False,58,T061075,True,False,False,False,2024-11-14 14:45:53.684096,2024-11-14 14:45:53.758195,3297.0,061075,2274.0,T,061,075,1,61.0,75.0,164.66,"[40, 70]",2
journal,False,11,B063040,True,True,True,True,2024-11-14 14:42:58.856521,2024-11-14 14:42:58.981997,1153.0,063040,2353.0,B,063,040,2,63.0,40.0,278.84,>= 200,5
canette,True,91,S032005,True,True,True,False,2024-11-14 14:57:25.243477,2024-11-14 14:57:25.288567,2452.0,032005,754.0,S,032,005,3,32.0,5.0,100.2,"[110, 200]",4
yaourt,False,81,W025011,True,False,False,False,2024-11-14 14:51:14.070070,2024-11-14 14:51:14.090529,3648.0,025011,497.0,W,025,011,0,25.0,11.0,45.46,"[40, 70]",2
bouteille_b,False,178,W014007,True,False,False,False,2024-11-14 14:56:37.666265,2024-11-14 14:56:37.703915,3554.0,014007,171.0,W,014,007,0,14.0,7.0,83.67,"[40, 70]",2
tetrapak,False,80,B088005,True,False,False,False,2024-11-14 14:54:17.528133,2024-11-14 14:54:17.551301,1740.0,088005,3050.0,B,088,005,2,88.0,5.0,51.48,"[40, 70]",2
bouteille_b,False,75,W012003,True,True,True,True,2024-11-14 14:56:39.040253,2024-11-14 14:56:39.073558,3531.0,012003,128.0,W,012,003,0,12.0,3.0,74.01,>= 200,5
carton_petit,False,101,B104015,True,True,False,False,2024-11-14 14:44:46.164895,2024-11-14 14:44:46.205455,2036.0,104015,3348.0,B,104,015,2,104.0,15.0,90.13,"[70, 110]",3
conserve,True,85,S039002,True,False,False,False,2024-11-14 14:53:39.369984,2024-11-14 14:53:39.412268,2502.0,039002,1087.0,S,039,002,3,39.0,2.0,93.96,"[40, 70]",2
carton_petit,False,63,B092031,True,True,False,False,2024-11-14 14:41:26.401135,2024-11-14 14:41:26.443450,1833.0,092031,3144.0,B,092,031,2,92.0,31.0,94.03,"[70, 110]",3
conserve,True,107,S034007,True,True,True,False,2024-11-14 14:41:38.543435,2024-11-14 14:41:38.578955,2469.0,034007,850.0,S,034,007,3,34.0,7.0,78.93,"[110, 200]",4
tetrapak,False,59,B064005,True,False,False,False,2024-11-14 14:45:08.979805,2024-11-14 14:45:09.010468,1166.0,064005,2374.0,B,064,005,2,64.0,5.0,68.14,"[40, 70]",2
yaourt,False,83,W045010,True,False,False,False,2024-11-14 14:51:46.965643,2024-11-14 14:51:46.984731,3922.0,045010,1412.0,W,045,010,0,45.0,10.0,42.42,"[40, 70]",2
tetrapak,False,45,B063014,True,True,False,False,2024-11-14 14:57:06.916238,2024-11-14 14:57:06.952901,1138.0,063014,2337.0,B,063,014,2,63.0,14.0,81.47,"[70, 110]",3
dechet,False,65,W039013,True,False,False,False,2024-11-14 14:44:06.254412,2024-11-14 14:44:06.291648,3845.0,039013,1098.0,W,039,013,0,39.0,13.0,82.75,"[40, 70]",2
bouteille_b,False,55,W008002,True,True,False,False,2024-11-14 14:43:46.743697,2024-11-14 14:43:46.807173,3484.0,008002,57.0,W,008,002,0,8.0,2.0,141.06,"[70, 110]",3
yaourt,False,37,W045014,True,False,False,False,2024-11-14 14:49:41.350925,2024-11-14 14:49:41.379223,3925.0,045014,1416.0,W,045,014,0,45.0,14.0,62.88,"[40, 70]",2
conserve,True,83,S026005,True,True,False,False,2024-11-14 14:50:00.935867,2024-11-14 14:50:00.982551,2404.0,026005,519.0,S,026,005,3,26.0,5.0,103.74,"[70, 110]",3
carton_petit,False,67,B065022,True,True,False,False,2024-11-14 14:44:14.908299,2024-11-14 14:44:14.956869,1218.0,065022,2432.0,B,065,022,2,65.0,22.0,107.93,"[70, 110]",3
conserve,True,75,S046003,True,True,False,False,2024-11-14 14:46:01.782098,2024-11-14 14:46:01.827788,2546.0,046003,1466.0,S,046,003,3,46.0,3.0,101.53,"[70, 110]",3
yaourt,False,47,W044006,True,False,False,False,2024-11-14 14:56:20.114037,2024-11-14 14:56:20.134658,3906.0,044006,1354.0,W,044,006,0,44.0,6.0,45.82,"[40, 70]",2
journal,False,474,B043057,True,True,True,True,2024-11-14 14:43:46.148380,2024-11-14 14:43:46.151412,541.0,043057,1326.0,B,043,057,2,43.0,57.0,6.74,>= 200,5
carton_grand,False,4,B056021,True,True,True,False,2024-11-14 14:54:38.078584,2024-11-14 14:54:38.222235,916.0,056021,2008.0,B,056,021,2,56.0,21.0,319.22,"[110, 200]",4
carton_grand,False,6,B076022,True,True,True,True,2024-11-14 14:41:29.451811,2024-11-14 14:41:29.564529,1498.0,076022,2781.0,B,076,022,2,76.0,22.0,250.48,>= 200,5
dechet,False,212,B046010,True,True,True,False,2024-11-14 14:43:35.025271,2024-11-14 14:43:35.027253,614.0,046010,1473.0,B,046,010,2,46.0,10.0,4.4,"[110, 200]",4
dechet,False,67,W028010,True,True,False,False,2024-11-14 14:48:34.381193,2024-11-14 14:48:34.404393,3684.0,028010,598.0,W,028,010,0,28.0,10.0,51.56,"[70, 110]",3
dechet,False,84,B028063,True,True,False,False,2024-11-14 14:55:18.805176,2024-11-14 14:55:18.846913,267.0,028063,615.0,B,028,063,2,28.0,63.0,92.75,"[70, 110]",3
conserve,True,100,S031004,True,True,False,False,2024-11-14 14:46:21.263552,2024-11-14 14:46:21.322667,2444.0,031004,714.0,S,031,004,3,31.0,4.0,131.37,"[70, 110]",3
carton_grand,False,337,B114004,True,True,True,True,2024-11-14 14:47:13.485687,2024-11-14 14:47:13.488172,2158.0,114004,3470.0,B,114,004,2,114.0,4.0,5.52,>= 200,5
yaourt,False,44,W019011,True,True,False,False,2024-11-14 14:45:39.789984,2024-11-14 14:45:39.813725,3596.0,019011,301.0,W,019,011,0,19.0,11.0,52.76,"[70, 110]",3
bouteille_b,False,115,W005002,True,False,False,False,2024-11-14 14:56:16.226946,2024-11-14 14:56:16.261454,3461.0,005002,28.0,W,005,002,0,5.0,2.0,76.68,"[40, 70]",2
journal,False,350,B049076,True,True,True,True,2024-11-14 14:42:40.877666,2024-11-14 14:42:40.881436,730.0,049076,1672.0,B,049,076,2,49.0,76.0,8.38,>= 200,5
dechet,False,98,B014055,True,True,True,False,2024-11-14 14:45:09.898375,2024-11-14 14:45:09.940492,58.0,014055,182.0,B,014,055,2,14.0,55.0,93.59,"[110, 200]",4
carton_grand,False,217,B080016,False,False,False,False,2024-11-14 14:53:21.717847,2024-11-14 14:53:21.787097,1578.0,080016,2876.0,B,080,016,2,80.0,16.0,153.89,"[0, 40]",1
conserve,True,70,S029003,True,True,False,False,2024-11-14 14:47:42.664037,2024-11-14 14:47:42.710216,2428.0,029003,634.0,S,029,003,3,29.0,3.0,102.62,"[70, 110]",3
canette,True,68,S046006,True,False,False,False,2024-11-14 14:55:07.179102,2024-11-14 14:55:07.220558,2549.0,046006,1469.0,S,046,006,3,46.0,6.0,92.12,"[40, 70]",2
dechet,False,89,W024015,True,False,False,False,2024-11-14 14:51:50.111273,2024-11-14 14:51:50.138447,3639.0,024015,465.0,W,024,015,0,24.0,15.0,60.39,"[40, 70]",2
tetrapak,False,64,B061009,True,False,False,False,2024-11-14 14:55:46.156656,2024-11-14 14:55:46.179858,1073.0,061009,2247.0,B,061,009,2,61.0,9.0,51.56,"[40, 70]",2
journal,False,9,B057066,True,True,True,True,2024-11-14 14:49:41.569586,2024-11-14 14:49:41.672041,964.0,057066,2075.0,B,057,066,2,57.0,66.0,227.68,>= 200,5
carton_grand,False,145,B088015,False,False,False,False,2024-11-14 14:53:25.409171,2024-11-14 14:53:25.496400,1748.0,088015,3058.0,B,088,015,2,88.0,15.0,193.84,"[0, 40]",1
bouteille_b,False,52,W009003,True,True,False,False,2024-11-14 14:54:20.884397,2024-11-14 14:54:20.980448,3496.0,009003,73.0,W,009,003,0,9.0,3.0,213.45,"[70, 110]",3
conserve,True,88,S038004,True,True,False,False,2024-11-14 14:51:44.368321,2024-11-14 14:51:44.415095,2496.0,038004,1037.0,S,038,004,3,38.0,4.0,103.94,"[70, 110]",3
tetrapak,False,60,B065011,True,False,False,False,2024-11-14 14:55:30.102123,2024-11-14 14:55:30.121200,1208.0,065011,2422.0,B,065,011,2,65.0,11.0,42.39,"[40, 70]",2
canette,True,84,S025004,True,True,False,False,2024-11-14 14:42:59.127135,2024-11-14 14:42:59.175745,2394.0,025004,490.0,S,025,004,3,25.0,4.0,108.02,"[70, 110]",3
conserve,True,93,S040005,True,True,False,False,2024-11-14 14:44:43.704843,2024-11-14 14:44:43.743762,2511.0,040005,1147.0,S,040,005,3,40.0,5.0,86.49,"[70, 110]",3
journal,False,222,B064053,False,False,False,False,2024-11-14 14:56:18.576505,2024-11-14 14:56:18.714121,1195.0,064053,2403.0,B,064,053,2,64.0,53.0,305.81,"[0, 40]",1
journal,False,352,B046048,False,False,False,False,2024-11-14 14:53:01.913000,2024-11-14 14:53:02.068110,628.0,046048,1491.0,B,046,048,2,46.0,48.0,344.69,"[0, 40]",1
yaourt,False,72,W049012,True,False,False,False,2024-11-14 14:46:02.731201,2024-11-14 14:46:02.757324,3971.0,049012,1642.0,W,049,012,0,49.0,12.0,58.05,"[40, 70]",2
carton_petit,False,70,B073022,True,True,False,False,2024-11-14 14:49:03.015862,2024-11-14 14:49:03.060117,1426.0,073022,2698.0,B,073,022,2,73.0,22.0,98.34,"[70, 110]",3
journal,False,369,B055035,False,False,False,False,2024-11-14 14:42:51.666483,2024-11-14 14:42:51.801287,892.0,055035,1960.0,B,055,035,2,55.0,35.0,299.56,"[0, 40]",1
journal,False,264,B044065,True,True,True,True,2024-11-14 14:52:22.811669,2024-11-14 14:52:22.818568,567.0,044065,1379.0,B,044,065,2,44.0,65.0,15.33,>= 200,5
carton_grand,False,4,B088019,True,True,True,True,2024-11-14 14:48:35.001943,2024-11-14 14:48:35.081099,1752.0,088019,3062.0,B,088,019,2,88.0,19.0,175.9,>= 200,5
carton_petit,False,74,B102014,True,True,False,False,2024-11-14 14:44:00.419695,2024-11-14 14:44:00.476070,1999.0,102014,3311.0,B,102,014,2,102.0,14.0,125.28,"[70, 110]",3
tetrapak,False,49,B029013,True,True,False,False,2024-11-14 14:42:25.953359,2024-11-14 14:42:25.987189,272.0,029013,644.0,B,029,013,2,29.0,13.0,75.18,"[70, 110]",3
bouteille_b,False,90,W007004,True,False,False,False,2024-11-14 14:43:38.179489,2024-11-14 14:43:38.280595,3477.0,007004,47.0,W,007,004,0,7.0,4.0,224.68,"[40, 70]",2
bouteille_b,False,85,W008006,True,True,False,False,2024-11-14 14:48:57.754362,2024-11-14 14:48:57.828996,3488.0,008006,61.0,W,008,006,0,8.0,6.0,165.85,"[70, 110]",3
dechet,False,64,T051107,True,True,False,False,2024-11-14 14:55:51.503441,2024-11-14 14:55:51.544301,3117.0,051107,1782.0,T,051,107,1,51.0,107.0,90.8,"[70, 110]",3
conserve,True,118,S043006,True,True,True,False,2024-11-14 14:53:10.107847,2024-11-14 14:53:10.154205,2532.0,043006,1300.0,S,043,006,3,43.0,6.0,103.02,"[110, 200]",4
dechet,False,69,B011046,True,True,True,False,2024-11-14 14:48:39.332757,2024-11-14 14:48:39.369079,25.0,011046,116.0,B,011,046,2,11.0,46.0,80.72,"[110, 200]",4
canette,True,67,S025004,True,True,False,False,2024-11-14 14:53:54.436179,2024-11-14 14:53:54.464410,2394.0,025004,490.0,S,025,004,3,25.0,4.0,62.74,"[70, 110]",3
dechet,False,64,T033075,True,True,False,False,2024-11-14 14:55:23.899498,2024-11-14 14:55:23.937871,2727.0,033075,834.0,T,033,075,1,33.0,75.0,85.27,"[70, 110]",3
tetrapak,False,42,B081009,True,False,False,False,2024-11-14 14:51:49.091368,2024-11-14 14:51:49.125558,1590.0,081009,2891.0,B,081,009,2,81.0,9.0,75.98,"[40, 70]",2
bouteille_b,False,79,W007005,True,True,True,False,2024-11-14 14:46:37.299828,2024-11-14 14:46:37.325961,3478.0,007005,48.0,W,007,005,0,7.0,5.0,58.07,"[110, 200]",4
conserve,True,102,S046004,True,True,False,False,2024-11-14 14:49:06.237777,2024-11-14 14:49:06.276539,2547.0,046004,1467.0,S,046,004,3,46.0,4.0,86.14,"[70, 110]",3
journal,False,10,B045048,True,True,True,True,2024-11-14 14:56:18.668308,2024-11-14 14:56:18.807374,595.0,045048,1432.0,B,045,048,2,45.0,48.0,309.04,>= 200,5
carton_grand,False,324,B119011,True,True,True,False,2024-11-14 14:53:33.984698,2024-11-14 14:53:33.987248,2202.0,119011,3514.0,B,119,011,2,119.0,11.0,5.67,"[110, 200]",4
carton_petit,False,63,B094018,True,True,False,False,2024-11-14 14:57:09.345280,2024-11-14 14:57:09.393121,1872.0,094018,3183.0,B,094,018,2,94.0,18.0,106.31,"[70, 110]",3
dechet,False,93,B027054,True,True,True,False,2024-11-14 14:42:41.504263,2024-11-14 14:42:41.532559,248.0,027054,574.0,B,027,054,2,27.0,54.0,62.88,"[110, 200]",4
dechet,False,88,B015076,True,True,False,False,2024-11-14 14:56:56.688075,2024-11-14 14:56:56.740317,75.0,015076,213.0,B,015,076,2,15.0,76.0,116.09,"[70, 110]",3
conserve,True,79,S043004,True,True,False,False,2024-11-14 14:54:52.424896,2024-11-14 14:54:52.464197,2530.0,043004,1298.0,S,043,004,3,43.0,4.0,87.34,"[70, 110]",3
bouteille_t,False,68,T075103,True,False,False,False,2024-11-14 14:47:24.764800,2024-11-14 14:47:24.871558,3407.0,075103,2762.0,T,075,103,1,75.0,103.0,237.24,"[40, 70]",2
tetrapak,False,57,B057014,True,True,False,False,2024-11-14 14:41:52.104812,2024-11-14 14:41:52.126478,939.0,057014,2049.0,B,057,014,2,57.0,14.0,48.15,"[70, 110]",3
dechet,False,61,W043015,True,False,False,False,2024-11-14 14:52:55.926931,2024-11-14 14:52:55.952726,3902.0,043015,1308.0,W,043,015,0,43.0,15.0,57.32,"[40, 70]",2
journal,False,345,B033043,True,True,True,True,2024-11-14 14:57:11.642801,2024-11-14 14:57:11.646764,332.0,033043,821.0,B,033,043,2,33.0,43.0,8.81,>= 200,5
yaourt,False,50,W032008,True,False,False,False,2024-11-14 14:44:40.843829,2024-11-14 14:44:40.868719,3738.0,032008,757.0,W,032,008,0,32.0,8.0,55.31,"[40, 70]",2
tetrapak,False,58,B036007,True,True,False,False,2024-11-14 14:44:44.629358,2024-11-14 14:44:44.668533,371.0,036007,931.0,B,036,007,2,36.0,7.0,87.06,"[70, 110]",3
tetrapak,False,59,B082005,True,False,False,False,2024-11-14 14:44:39.218389,2024-11-14 14:44:39.250097,1613.0,082005,2915.0,B,082,005,2,82.0,5.0,70.46,"[40, 70]",2
dechet,False,55,W020013,True,False,False,False,2024-11-14 14:57:34.287681,2024-11-14 14:57:34.315819,3603.0,020013,334.0,W,020,013,0,20.0,13.0,62.53,"[40, 70]",2
dechet,False,100,B024023,True,True,True,False,2024-11-14 14:43:27.375497,2024-11-14 14:43:27.417744,205.0,024023,472.0,B,024,023,2,24.0,23.0,93.88,"[110, 200]",4
tetrapak,False,59,B046013,True,False,False,False,2024-11-14 14:43:13.885471,2024-11-14 14:43:13.908585,615.0,046013,1476.0,B,046,013,2,46.0,13.0,51.36,"[40, 70]",2
dechet,False,88,T034089,True,True,False,False,2024-11-14 14:41:08.546017,2024-11-14 14:41:08.565417,2742.0,034089,878.0,T,034,089,1,34.0,89.0,43.11,"[70, 110]",3
bouteille_t,False,60,T043101,True,False,False,False,2024-11-14 14:55:29.396923,2024-11-14 14:55:29.490574,2937.0,043101,1340.0,T,043,101,1,43.0,101.0,208.11,"[40, 70]",2
carton_petit,False,80,B091017,True,True,False,False,2024-11-14 14:57:04.503395,2024-11-14 14:57:04.545265,1809.0,091017,3120.0,B,091,017,2,91.0,17.0,93.04,"[70, 110]",3
carton_petit,False,82,B077017,True,True,False,False,2024-11-14 14:56:42.413500,2024-11-14 14:56:42.444773,1519.0,077017,2804.0,B,077,017,2,77.0,17.0,69.5,"[70, 110]",3
dechet,False,76,T026047,True,True,False,False,2024-11-14 14:49:00.283332,2024-11-14 14:49:00.320928,2629.0,026047,536.0,T,026,047,1,26.0,47.0,83.55,"[70, 110]",3
canette,True,96,S029005,True,False,False,False,2024-11-14 14:55:39.081319,2024-11-14 14:55:39.112448,2430.0,029005,636.0,S,029,005,3,29.0,5.0,69.18,"[40, 70]",2
carton_grand,False,197,B081018,False,False,False,False,2024-11-14 14:53:50.767866,2024-11-14 14:53:50.941060,1599.0,081018,2900.0,B,081,018,2,81.0,18.0,384.88,"[0, 40]",1
canette,True,86,S028005,True,True,False,False,2024-11-14 14:54:22.910283,2024-11-14 14:54:22.940282,2422.0,028005,593.0,S,028,005,3,28.0,5.0,66.66,"[70, 110]",3
journal,False,264,B041068,True,True,True,True,2024-11-14 14:57:10.691599,2024-11-14 14:57:10.696365,499.0,041068,1225.0,B,041,068,2,41.0,68.0,10.59,>= 200,5
dechet,False,3,B100010,True,True,True,False,2024-11-14 14:53:37.669928,2024-11-14 14:53:37.776129,1968.0,100010,3279.0,B,100,010,2,100.0,10.0,236.0,"[110, 200]",4
yaourt,False,56,W058005,True,False,False,False,2024-11-14 14:44:43.065072,2024-11-14 14:44:43.092030,4047.0,058005,2094.0,W,058,005,0,58.0,5.0,59.91,"[40, 70]",2
canette,True,108,S023004,True,False,False,False,2024-11-14 14:47:06.579512,2024-11-14 14:47:06.611953,2378.0,023004,425.0,S,023,004,3,23.0,4.0,72.09,"[40, 70]",2
carton_petit,False,93,B090027,True,True,False,False,2024-11-14 14:54:10.373392,2024-11-14 14:54:10.425104,1794.0,090027,3104.0,B,090,027,2,90.0,27.0,114.92,"[70, 110]",3
bouteille_b,False,79,W008007,True,True,True,False,2024-11-14 14:54:28.183147,2024-11-14 14:54:28.203212,3489.0,008007,62.0,W,008,007,0,8.0,7.0,44.59,"[110, 200]",4
conserve,True,83,S036007,True,True,False,False,2024-11-14 14:46:50.826944,2024-11-14 14:46:50.864355,2484.0,036007,931.0,S,036,007,3,36.0,7.0,83.14,"[70, 110]",3
canette,True,95,S035004,True,False,False,False,2024-11-14 14:55:14.196304,2024-11-14 14:55:14.219301,2474.0,035004,890.0,S,035,004,3,35.0,4.0,51.1,"[40, 70]",2
dechet,False,54,W048010,True,True,False,False,2024-11-14 14:54:32.440495,2024-11-14 14:54:32.467630,3958.0,048010,1580.0,W,048,010,0,48.0,10.0,60.3,"[70, 110]",3
